frbname,gwname,fix_lnb,relax_lnb,gwstat,ranking
FRB20190701E,190701_223118,11.301642965525389,7.331420756876469,4.952718734741211,8.922940943390131
FRB20190605C,190605_021909,12.771765388548374,9.12699979543686,3.8621826171875,7.506948210299015
FRB20190411B,190411_050213,10.246110423002392,6.976560945855454,3.6810498237609854,6.950599300907924
FRB20190520A,190520_102326,5.990903695113957,3.87283229152672,4.148149490356445,6.266220893943682
FRB20190409B,190409_032650,11.120390949770808,7.384170908946544,2.218421936035156,5.9546419768594205
FRB20190429A,190429_121200,-0.9950502233114094,0.1888828868977725,7.110693122349881,5.926760012140699
FRB20190625A,190625_050316,-0.8558419942855835,0.5329824991058558,7.0758769804729615,5.687052487081522
FRB20190420A,190420_011313,4.097543257987127,3.7724627782590687,4.834007263183594,5.159087742911652
FRB20190701E,190701_223033,8.704868415370584,6.561125485226512,2.6382055282592773,4.781948458403349
FRB20190530A,190530_200704,10.09165937267244,8.888864753302187,3.5065813064575195,4.709375925827773
FRB20190614C,190614_141306,7.52488200715743,4.745094741228968,1.7355140447616575,4.51530131069012
FRB20190619A,190619_011439,9.697040913277306,6.596639988012612,1.2663861513137815,4.366787076578476
FRB20190425A,190425_104659,8.549201731802896,5.849147387780249,1.5626667737960815,4.262721117818728
FRB20190409C,190409_114158,9.558379663154485,5.314048446714878,-0.245068073272705,3.9992631431669015
FRB20190417B,190417_060046,3.1186118964105844,1.7781302792718634,2.522891998291016,3.863373615429737
FRB20190614B,190614_124103,8.393958177883178,7.986910678446293,3.3061208724975586,3.713168371934444
FRB20190604D,190604_043225,9.847606718540192,8.403607860207558,2.2045493125915527,3.6485481709241863
FRB20190612B,190612_052926,-0.3178184585412964,0.6210867676418275,4.335660457611084,3.39675523142796
FRB20190612C,190612_195901,11.948940376751125,10.783487462438645,2.214114189147949,3.3795671034604293
FRB20190423D,190423_201018,5.496552174678072,3.154547868994996,0.848423421382904,3.1904277270659804
FRB20190527A,190527_162643,9.67887852503918,7.525896060513332,1.0014475584030151,3.154430022928863
FRB20190608A,190608_145245,7.229558899067342,5.31336144451052,1.0656062364578247,2.9818036910146466
FRB20190701A,190701_075202,7.86616547300946,7.378163610352203,2.3869590759277344,2.874960938584991
FRB20190616A,190616_055648,-0.4470649713184684,0.1474473208654672,3.395126342773437,2.8006140505895014
FRB20190616A,190616_055518,9.325075843371453,6.697149908170104,0.1639639139175415,2.79188984911889
FRB20190531E,190531_162852,5.253239112440497,6.315501604229212,3.7560648918151855,2.6938024000264704
FRB20190628A,190628_024955,4.993097938597202,6.333346471190453,4.01651668548584,2.6762681528925896
FRB20190701B,190701_094922,7.143062315881252,5.980756292119622,1.4827972650527954,2.645103288814425
FRB20190409C,190409_114221,8.39104136521928,6.533449230482802,0.6734241247177124,2.5310162594541907
FRB20190429A,190429_121233,1.8865999861154703,0.7178662221413106,1.22882342338562,2.39755718735978
FRB20190420A,190420_011337,3.965314733562991,3.35881506674923,1.714847445487976,2.321347112301737
FRB20190426A,190426_012707,10.856902952073142,7.28252744441852,-1.3915082216262815,2.1828672860283405
FRB20190623A,190623_075435,9.396201602416111,7.475844943430275,0.1575902700424194,2.077946929028256
FRB20190420A,190420_011544,3.165299164596945,1.9917961996980007,0.7882125973701477,1.961715562269092
FRB20190606B,190606_221941,15.9342308845371,13.62213645502925,-0.3518697023391723,1.9602247271686792
FRB20190605C,190605_022141,8.679618388414383,7.683543562889099,0.7965115308761597,1.7925863564014437
FRB20190617A,190617_021229,8.031547142658383,11.265002136584371,4.930938243865967,1.697483249939978
FRB20190417B,190417_060152,3.968397259595804,6.620789137901738,4.306514739990234,1.6541228616843
FRB20190417B,190417_060017,2.1890595668228343,1.571441416395828,0.9438625574111938,1.5614807078382005
FRB20190609A,190609_024609,0.3522981600835919,0.1876079207286238,1.339597463607788,1.5042877029627562
FRB20190606B,190606_221818,7.515732210129499,8.967008970677853,2.9346842765808105,1.4834075160324574
FRB20190531B,190531_084752,7.893388531170785,7.757393063511699,1.2476379871368408,1.3836334547959268
FRB20190621D,190621_081457,4.636374453082681,4.9501050198450685,1.6174904108047483,1.3037598440423606
FRB20190617A,190617_021148,3.359459242550656,7.779896860476583,5.532263278961182,1.1118256610352546
FRB20190519G,190519_124909,1.4763947061728686,3.467426479328424,3.036165714263916,1.0451339411083604
FRB20190621D,190621_081432,5.657269012415782,8.357820781646296,3.491779327392578,0.7912275581620634
FRB20190531E,190531_162819,0.0631336558144539,0.155188069678843,0.8729566931724548,0.7809022793080658
FRB20190502A,190502_042216,8.61245850729756,10.326717666350303,2.4832706451416016,0.7690114860888588
FRB20190417B,190417_060303,3.3776405511889607,5.158030685968697,2.47193455696106,0.6915444221813236
FRB20190427A,190427_225520,4.530427949968725,6.175495290313847,2.311752319335937,0.6666849789908151
FRB20190601A,190601_040529,3.416944314725697,2.40798059781082,-0.3962854743003845,0.6126782426144923
FRB20190409B,190409_032531,-1.8240089700557287,0.0995108785573393,2.4981045722961426,0.5745847236830746
FRB20190409C,190409_114405,0.7044177204370499,-0.0158562569413334,-0.3107640147209167,0.4095099626574666
FRB20190420A,190420_011426,0.9434760450385512,0.475199666339904,-0.1863242387771606,0.2819521399214866
FRB20190419A,190419_011751,6.678469227510504,6.617078918148764,0.2091315984725952,0.2705219078343353
FRB20190625A,190625_050148,4.458317030919716,2.852371632354334,-1.3933734893798828,0.2125719091854989
FRB20190417B,190417_060127,0.9722251060884446,1.2641976560698822,0.445327877998352,0.1533553280169143
FRB20190630C,190630_174941,2.4937118850648403,1.238240260630846,-1.1500117778778076,0.1054598465561866
FRB20190627A,190627_024603,2.122674785554409,5.039087876677513,2.992256164550781,0.0758430734276767
FRB20190420A,190420_011443,0.8507985852193087,0.3065926183480769,-0.6117721796035767,-0.0675662127323448
FRB20190628A,190628_025146,2.398275192361325,2.019056939985603,-0.4659924507141113,-0.0867741983383893
FRB20190617A,190617_021059,1.95889108418487,4.013671141117811,1.886524081230164,-0.168255975702777
FRB20190422B,190422_043028,-0.9238267412874848,0.1303392690606415,0.8485333323478699,-0.2056326780002564
FRB20190417B,190417_060232,-0.8805331035982817,-0.3587749080033973,0.2972761988639831,-0.2244819967309013
FRB20190604D,190604_043040,15.535399397835135,16.66896192729473,0.9090242981910706,-0.2245382312685251
FRB20190410B,190410_122634,1.056693261489272,2.3148349614348263,1.028860569000244,-0.2292811309453104
FRB20190601D,190601_205432,6.140152235748246,6.431613612221554,0.004149317741394,-0.2873120587319136
FRB20190417B,190417_060243,7.074419035576284,8.51305480999872,1.1327823400497437,-0.3058534343726933
